colorname,desc2,description,fit,fitinfo,fulldescription,itemid,name,url,Classification
['Slate Brown/Chili Pepper'],[],['These waterproof hiking boots for men are rugged enough for peak performance yet light and quick enough to keep feet from feeling weighed down.'],[],[],"['These waterproof hiking boots for men are rugged enough for peak performance yet light and quick enough to keep feet from feeling weighed down.', 'Specs', 'Approx. Weight: 2 lb. 8 oz. per pair.', 'Construction', 'Nubuck leather and abrasion-resistant mesh upper offer durability and breathability.', 'Designed with a dual-density footbed and molded EVA midsole for athletic-shoe comfort and support.', ""Lined with UltraDry waterproof technology to make sure moisture can get out and water can't come in."", 'Molded TPU shank enhances stability for more control.', 'Vibram Nuasi outsole with XSTrek rubber compound grips on the most challenging terrain.', 'Padded tongue and collar add to the comfort and fit.', 'Imported.', 'Questions?', 'Chat with an Expert']",['297896'],Men's Vasque Talus Trek Waterproof Hiking Boots,https://www.llbean.com/llb/shop/89822?page=men-s-vasque-talus-trek-waterproof-hiking-boots&bc=29-915&feat=915-gn0&csp=f&attrvalue_0=slate%20brown/chili%20pepper,Boots
['Platinum'],[],"[""The next level of weather protection. This light-up jacket resists the elements and keeps you visible in low-light conditions. From running, biking or walking the dog, the durable construction and innovative safety features won't let you down.""]",[],"['Slightly Fitted: Softly shapes the body.', 'Falls at hip.']","[""The next level of weather protection. This light-up jacket resists the elements and keeps you visible in low-light conditions. From running, biking or walking the dog, the durable construction and innovative safety features won't let you down."", 'Size & Fit', 'Slightly Fitted: Softly shapes the body.', 'Falls at hip.', 'Fabric & Care', 'Lightweight, abrasion-resistant 100% nylon.', 'Machine wash and dry.', 'Additional Features', 'Wind- and water-resistant fabric actively repels the elements and regulates moisture.', 'Features two removable, battery-operated LED strips for high visibility.', 'LED strips offer blinking mode for 150 hours and solid mode 75 hours.', 'Reflective trims on front zipper, pockets, right chest and upper back provide extra visibility.', 'Two zippered side pockets.', 'Internal adjustability at the hem.', 'Imported.', 'Questions?', 'Chat with an Expert']",['502860'],Ridge Runner Light-Up Running Jacket,https://www.llbean.com/llb/shop/119583?page=ridge-runner-light-up-running-jacket&bc=32-516686-302-6703&feat=6703-gn3&csp=s&attrvalue_0=platinum,Jackets
['Walnut'],[],"['Great grip and extra breathability make these Merrell ventilated hikers ideal for warm, dry conditions.']",[],[],"['Great grip and extra breathability make these Merrell ventilated hikers ideal for warm, dry conditions.', 'Specs', 'Approx. weight: 1 lb. 8 oz. per pair.', 'Construction', 'Performance suede leather and mesh upper.', 'Lined with breathable mesh that wicks moisture away.', 'Rubber toe cap and heel counter add protection and make it easy to clean off mud.', 'Ventilated bellows tongue enhances breathability and keeps debris out.', 'Blended EVA contoured footbed, molded nylon arch shank and molded footframe cushion every step.', 'Footbed treated to control odor organically.', 'Air inserts under the heel help absorb shock and enhance stability.', 'Durable Vibram® Multi-Sport™ TC5+ rubber outsole with 5mm lugs provides tenacious grip.', 'Imported.', 'Questions?', 'Chat with an Expert']",['304809'],Men's Merrell Moab 2 Ventilated Trail Shoes,https://www.llbean.com/llb/shop/116740?page=men-s-merrell-moab-2-ventilated-trail-shoes&bc=512576&feat=512576-gn1&csp=a&attrvalue_0=walnut,Shoes
['Green'],[],"[""This lightweight fly rod delivers outstanding performance and can be used as either a traditional one-handed rod or as a two-handed spey rod. Two-handed technique is ideal for larger rivers and situations where there isn't space for a backcast.""]",[],"['3 Sizes: 12\'6"" 7wt, 13\' 8wt, 14\' 9wt.']","[""This lightweight fly rod delivers outstanding performance and can be used as either a traditional one-handed rod or as a two-handed spey rod. Two-handed technique is ideal for larger rivers and situations where there isn't space for a backcast."", 'Size & Fit', '3 Sizes: 12\'6"" 7wt, 13\' 8wt, 14\' 9wt.', 'Construction', 'Graphite rod blank with advanced resin technology.', 'Titanium snake guides and two stripper guides with ceramic inserts.', 'Additional Features', 'Easy to cast, medium-fast action fly rod is easy to learn with yet grows with you.', '4-piece design for easy travel and storage.', 'Alignment line and dot at each ferrule for ease of assembly.', 'Includes lightweight, rugged nylon-covered fiberglass rod tube with built in section dividers.', 'Imported.', 'Questions?', 'Chat with an Expert']",[],Streamlight Ultra II Switch Fly Rods,https://www.llbean.com/llb/shop/121908?page=streamlight-ultra-ii-switch-fly-rod&bc=511742-511747&feat=511747-gn1&csp=a&attrvalue_0=green,Fishing Tools
[],[],"['Add a pop of paddling fun to your bed, chair or sofa with this whimsical throw pillow, handhooked on front for a timeless style.']",[],[],"['Add a pop of paddling fun to your bed, chair or sofa with this whimsical throw pillow, handhooked on front for a timeless style.', 'Specs', 'Dimensions 8"" x 12"".', 'Fabric & Care', '100% wool front.', '100% cotton velveteen back.', '100% polyester insert.', 'Spot clean.', 'Additional Features', 'Wool yarns are hand hooked on front to create design.', 'Removable cover.', 'Imported.', 'Questions?', 'Chat with an Expert']",['507102'],"Wool Hooked Throw Pillow, Wooden Paddles",https://www.llbean.com/llb/shop/122223?page=wool-hooked-throw-pillow-wooden-paddles&bc=516761-516271&feat=516271-gn3&csp=a,Pillows
['Green'],[],['These tough Men’s Heavy-Duty Suspenders are made to hold up heavy wool pants without stretching.'],[],"['Medium 40-42""; long 44""; extra-long 46"".', 'To determine size, measure at beltline from front pocket over your shoulder and diagonally down to opposite back pocket.']","['These tough Men’s Heavy-Duty Suspenders are made to hold up heavy wool pants without stretching.', 'Size & Fit', 'Medium 40-42""; long 44""; extra-long 46"".', 'To determine size, measure at beltline from front pocket over your shoulder and diagonally down to opposite back pocket.', 'Construction', 'High-grade, heavy-duty 1½""-wide elastic webbing.', 'Leather-end style fastens to suspender buttons.', 'Additional Features', '4 oz.', 'Imported.', 'Questions?', 'Chat with an Expert']",[],Men's Heavy-Duty Suspenders,https://www.llbean.com/llb/shop/11072?page=men-s-heavy-duty-suspenders&bc=29-507929-507932-506557-514347&feat=514347-gn3&csp=f&attrvalue_0=green,Suspenders
"['Antique Pine', 'Antique White', 'Flint Blue', 'Slate Blue', 'Sunlight', 'Vapor Gray', 'White']",[],"[""All the softness and absorbency you've come to expect from L.L.Bean towels, in certified organic cotton for natural, ecofriendly comfort.""]",[],[],"[""All the softness and absorbency you've come to expect from L.L.Bean towels, in certified organic cotton for natural, ecofriendly comfort."", 'Specs', 'Oversized Bath Towel', 'Dimensions: 34"" x 62"".', 'Bath Towel', 'Dimensions: 30"" x 58"".', 'Hand Towel', 'Dimensions: 16"" x 30"".', 'Facecloth', 'Dimensions 12"" x 13"".', 'Fabric & Care', '500 grams of premium Turkish combed cotton.', 'Additional Features', 'Lightweight and quick drying – a great choice for everyday use.', 'Cotton is looped on both sides for long-lasting drying power and durability.', 'Resists the bleached-out stains caused by benzoyl peroxide.', 'Available in standard and oversized styles.', 'Coordinates with our other Organic Textured Cotton Towel styles and set; sold separately.', 'GOTS certified, CU 808230.', 'Made in Turkey.', 'Questions?', 'Chat with an Expert']",[],Organic Textured Cotton Towel,https://www.llbean.com/llb/shop/120494?page=organic-textured-cotton-towel&bc=31-900-514487&feat=514487-gn3&csp=f,Towels
"['Smoked Pearl/Black', 'Teal Breeze']",[],"['Designed with lots of performance features, plus a semi-form-fitting profile, this cycling jersey delivers all-day comfort and serious style.']",[],[],"['Designed with lots of performance features, plus a semi-form-fitting profile, this cycling jersey delivers all-day comfort and serious style.', 'Fabric & Care', '100% polyester.', 'UPF 50+ rated – the highest rated sun protection possible.', 'Machine wash, line dry.', 'Additional Features', 'Full-length zipper with draft flap for ventilation.', 'SELECT Transfer Dry fabric sets the standard for compression and moisture wicking.', 'Three back pockets to stash money, cell phone or snacks.', 'BioViz® bright colors and reflective elements for visibility in low light.', 'Imported.', 'Questions?', 'Chat with an Expert']",['307415'],"Pearl Izumi Select Escape Cycling Jersey, Short-Sleeve",https://www.llbean.com/llb/shop/120606?page=pearl-izumi-select-escape-cycling-jersey-short-sleeve&bc=12-27-509757-502975&feat=502975-gn3&csp=f,Shirts
"['Black', 'Dark Flint Gray', 'Natural']",[],"['For strong, lightweight comfort without bulk, our men’s silk crewneck makes for an ideal first layer against the cold — from slope to lodge to shoveling snow.']",[],[],"['For strong, lightweight comfort without bulk, our men’s silk crewneck makes for an ideal first layer against the cold — from slope to lodge to shoveling snow.', 'Fabric & Care', '100% silk fabric.', 'Machine wash, dry flat.', 'Imported.', 'Questions?', 'Chat with an Expert']",[],"Men's Silk Underwear, Crewneck",https://www.llbean.com/llb/shop/74749?page=men-s-silk-underwear-crewneck&bc=514949&feat=514949-gn1&csp=a,Underwear
"['Green', 'Sand', 'Slate Gray', 'White']","['Tougher and more resilient than treated wood, the HDPE (High Density Polyethylene) used to build this dining table is made partially from recycled materials. Heavy enough to withstand winds and unaffected by wet weather and extreme temperatures, this table will stay in place without rotting, warping, cracking, splintering or ever needing to be painted – even if you leave it outside all year-round.']","['Made in the USA to our exacting standards, this round patio table is durable enough to weather the elements year-round.']",[],[],"['Made in the USA to our exacting standards, this round patio table is durable enough to weather the elements year-round.', 'Specs', 'Overall dimensions: 29""H x 48""diameter.', 'Why We Love It', 'Tougher and more resilient than treated wood, the HDPE (High Density Polyethylene) used to build this dining table is made partially from recycled materials. Heavy enough to withstand winds and unaffected by wet weather and extreme temperatures, this table will stay in place without rotting, warping, cracking, splintering or ever needing to be painted – even if you leave it outside all year-round.', 'Construction', 'Made of ecofriendly, partially recycled HDPE (high-density polyethylene).', 'Marine-grade quality, rust-resistant coated stainless-steel hardware.', 'Assembly required, see instructions below.', 'Additional Features', 'Tougher and more durable than treated wood.', 'Solid, heavy-duty construction withstands nature’s elements.', 'Will not absorb moisture, rot, splinter or ever need painting.', 'Easy to clean with soap and water.', 'Accommodates an umbrella pole up to 1½"" diameter.', 'Pair with our All-Weather Armless or Folding Chairs, sold separately.', 'Available in four attractive, fade-resistant colors.', 'Pair with any of our All-Weather products for a timeless, functional outdoor entertainment area.', 'USA.', 'Questions?', 'Chat with an Expert', 'Assembly Instructions', '. ']",['281391'],"All-Weather Dining Table, Round 48""",https://www.llbean.com/llb/shop/77597?page=all-weather-dining-table-round-48&bc=504182-508631&feat=508631-gn3&csp=a,Tables
